customer_id,state,customer_segment,signup_date,account_balance_myr,monthly_income_myr,loan_amount_myr,credit_score,txn_count_30d,default_flag
MYB0024,Pahang,Student,2024-06-16,3025.3,2038.13,0,716,24,0
MYB0025,Negeri Sembilan,Mass,2024-05-06,3337.04,1898.64,21996.25,648,62,0
MYB0026,,Mass,2025-05-22,2509.96,5654.42,86925.57,684,64,0
MYB0027,Johor,Student,2022-07-10,7368.55,1835.94,16380.95,730,36,0
MYB0028,Selangor,Student,2019-10-28,1526.35,1604.41,335817.84,596,41,0
MYB0029,Melaka,Mass,2025-02-03,6484.66,3734.5,0,587,50,0
MYB0030,Selangor,Mass,2020-07-04,14246.66,3975.86,0,793,64,0
MYB0031,Perak,Mass,2024-09-01,5699.77,1653.09,0,658,62,0
MYB0032,Penang,Mass,2021-12-08,10324.61,4869.79,39895.67,730,79,0
MYB0033,Sabah,Mass,2025-07-13,-1048.16,3590.01,30967.52,604,85,0
MYB0034,Sabah,Mass,2021-05-10,2559.28,3478.07,8408.21,582,83,0
MYB0035,Penang,Mass,2020-12-26,8363.34,3879.79,0,677,30,0
MYB0036,Johor,Premium,2021-12-28,83053.25,25004.36,380896.06,740,83,0
MYB0037,Sabah,Student,2022-06-04,203.62,2237.67,17542.8,,34,0
MYB0038,Pahang,Mass,2023-06-26,21443.08,4638.91,14089.85,624,58,0
MYB0039,Perak,Salary,2019-06-06,13580.46,8009.85,0,718,87,0
MYB0040,Negeri Sembilan,Salary,2021-02-17,9608.77,6415.18,92635.67,763,58,0
MYB0041,Selangor,Mass,2022-09-14,6280.05,2299.94,13511.66,590,38,0
MYB0042,Perak,Mass,2025-03-20,6449.05,5055.99,0,722,15,0
MYB0043,,Mass,2019-01-02,6348.67,3931.73,0,706,41,0
MYB0044,Pahang,SME,2024-04-22,15764.89,,286919.27,530,76,0
MYB0045,Selangor,Salary,2021-08-20,11451.86,5894.63,76409.22,628,27,0
MYB0046,Negeri Sembilan,,2021-03-07,23063.56,7051.33,43296.68,661,87,0
MYB0047,,Premium,2023-10-08,45738.46,17573.61,88201.79,779,86,0
MYB0048,Pahang,Salary,2025-04-08,150.82,6041.15,0,546,40,0
MYB0049,Pahang,Premium,2024-01-01,24567.94,11357.1,68455.78,738,92,0
MYB0050,Pahang,Premium,2024-06-07,39718.4,13489.7,125331.94,630,67,0
MYB0051,Penang,Mass,2021-05-26,8247.82,5527.49,64159.71,737,58,0
MYB0052,Negeri Sembilan,Student,2019-03-22,3337.86,2333.52,32020.45,600,36,0
MYB0053,Pahang,Salary,2025-10-06,3386.9,2934.05,21205.38,706,65,0
MYB0054,Penang,Premium,2024-03-29,22872.29,27015.17,390785.68,612,73,0
MYB0055,Penang,Premium,2019-07-25,6957.19,14397.32,195154.64,663,111,0
MYB0056,Sarawak,Student,2021-10-30,10205.1,2088.96,0,617,51,0
MYB0057,Kuala Lumpur,Mass,2019-05-08,12512.23,4945.24,55367.22,663,40,0
MYB0058,Sabah,,2020-11-18,12105.68,6502.3,458111.19,537,78,0
MYB0059,Perak,Salary,2025-06-16,3718.99,4478.63,43233.16,523,54,1
MYB0060,Negeri Sembilan,Premium,2020-05-10,2672.21,10139.26,51190.05,679,72,0
MYB0061,Kuala Lumpur,SME,2023-09-17,5860.36,10051.51,0,646,63,0
MYB0062,Pahang,Salary,2022-01-11,-1500,3450.09,0,563,71,0
MYB0063,Johor,Mass,2019-12-21,3597.2,3967.27,0,732,40,0
MYB0064,Sabah,Salary,2021-01-14,18072.25,4801.33,43221.63,665,81,0
MYB0065,Johor,Mass,2023-07-23,1255.38,3175.18,33286.31,560,34,0
MYB0066,Johor,Mass,2023-07-15,8299.76,3840.35,19768.4,619,23,0
MYB0067,Perak,SME,2022-06-09,35933.07,,138165.46,677,106,0
MYB0068,,Mass,2024-06-06,-1016.94,3939.88,0,746,21,0
MYB0069,Sabah,Mass,2021-01-04,9644.31,3604.83,40680.79,754,40,0
MYB0070,Selangor,SME,2019-02-20,33595.04,,125000.48,632,95,0
MYB0071,Selangor,Salary,2023-06-30,15797.47,4115.7,58559.56,661,71,0
MYB0072,Sarawak,Salary,2025-10-19,6254.89,6258.67,0,600,33,0
MYB0073,Sarawak,Salary,2022-06-04,18843.77,9217.82,0,665,90,0
MYB0074,Selangor,Mass,2020-10-05,1580.0,5364.7,80785.34,684,67,0
MYB0075,Perak,Mass,2022-03-04,1797.09,3823.36,62144.16,603,32,0
MYB0076,,Salary,2021-07-09,-1500,4605.9,0,581,74,0
MYB0077,Negeri Sembilan,SME,2022-03-28,9905.52,10195.05,119060.65,609,98,0
MYB0078,Negeri Sembilan,Salary,2019-06-13,17139.93,8777.06,112752.44,619,46,0
MYB0079,Perak,Mass,2025-06-18,2687.1,2124.92,24821.11,750,17,0
MYB0080,Melaka,Salary,2020-01-09,11541.96,4668.35,55437.99,671,45,0
MYB0081,Pahang,Salary,2019-05-31,24034.75,7622.08,83640.81,625,60,0
MYB0082,Pahang,Student,2024-03-07,936.81,1522.21,15567.45,684,36,0
MYB0083,Melaka,Student,2024-06-08,5511.66,1460.63,25466.06,780,47,0
MYB0084,Selangor,Salary,2021-07-09,37186.84,10516.61,163959.14,685,33,0
MYB0085,Melaka,Mass,2024-04-18,13962.51,4219.06,63538.63,673,41,0
MYB0086,Perak,Premium,2023-08-27,23670.79,11778.92,193599.4,750,91,0
MYB0087,Melaka,Premium,2025-01-15,24400.15,10968.61,0,605,46,0
MYB0088,Johor,Student,2025-05-31,2013.71,2616.71,39990.56,598,55,0
MYB0089,Penang,Salary,2024-07-21,14539.03,7422.55,0,668,71,0
MYB0090,Melaka,Mass,2019-03-04,11403.64,3991.89,50084.26,607,68,0
MYB0091,Sabah,SME,2024-12-25,18045.52,9034.93,111936.92,630,51,1
MYB0092,Perak,Mass,2021-07-20,-490.01,4174.51,19130.29,605,24,0
MYB0093,Kuala Lumpur,Mass,2022-04-16,601.88,4827.16,64188.65,635,67,0
MYB0094,Negeri Sembilan,Mass,2023-04-16,10690.07,3562.54,0,634,68,0
MYB0095,Kuala Lumpur,Mass,2024-03-20,13436.54,5639.4,36998.52,629,28,0
MYB0096,Perak,Mass,2021-03-26,6348.17,3322.29,33120.41,780,64,0
MYB0097,Kuala Lumpur,SME,2023-06-10,15878.35,8973.49,89353.67,744,72,0
MYB0098,Johor,Mass,2025-10-22,-3302.87,3345.76,24544.29,676,83,0
MYB0099,Penang,SME,2026-01-17,22026.82,12562.81,128772.93,729,83,0
MYB0100,Sarawak,Mass,2020-12-20,21641.1,4668.61,0,705,37,0
MYB0101,Melaka,Mass,2022-04-23,14929.18,5236.36,33318.73,,49,0
MYB0102,Sarawak,Premium,2025-04-01,20491.3,,61277.42,737,64,0
MYB0103,Sabah,Premium,2020-03-19,31085.67,10079.03,60244.61,626,72,0
MYB0104,Melaka,SME,2022-05-22,22738.89,8716.07,199681.55,643,100,0
MYB0105,Sabah,Salary,2025-01-21,8676.42,7387.55,97551.68,588,68,0
MYB0106,Perak,Salary,2019-05-15,18647.04,6033.13,62327.53,628,82,0
MYB0107,Kuala Lumpur,SME,2023-06-19,51057.28,9195.71,0,643,93,0
MYB0108,Kuala Lumpur,Salary,2019-07-27,9671.46,5787.04,41034.6,676,61,0
MYB0109,Johor,Mass,2021-08-12,19566.34,3885.15,0,697,52,0
MYB0110,Perak,Mass,2020-12-15,25568.59,6018.94,33503.97,761,49,0
MYB0111,Sarawak,Mass,2024-11-24,4028.94,4088.89,44770.77,685,71,0
MYB0112,Negeri Sembilan,Mass,2019-06-27,11924.89,3833.3,31315.0,536,119,0
MYB0113,Selangor,Salary,2024-07-01,6712.86,7782.24,0,661,59,0
MYB0114,,Salary,2025-02-24,12242.01,7427.28,45997.99,661,85,0
MYB0115,Selangor,Premium,2025-03-08,47483.65,15432.03,161886.34,627,59,0
MYB0116,Perak,Salary,2023-03-14,19713.78,7043.7,58095.02,760,68,0
MYB0117,Sabah,SME,2020-06-16,15373.26,6184.49,55784.06,630,72,0
MYB0118,Kuala Lumpur,Premium,2022-03-24,51725.11,21273.29,166005.89,636,105,0
MYB0119,Pahang,Mass,2023-02-14,14934.68,4913.31,26376.16,707,54,0
MYB0120,Negeri Sembilan,Salary,2021-12-31,10663.84,3977.46,0,703,79,0
MYB0121,Sarawak,Mass,2019-10-13,8211.66,3682.45,53053.63,719,38,0
MYB0122,Sabah,Mass,2022-06-30,6319.0,3838.43,42729.77,564,66,0
MYB0123,Sarawak,Mass,2024-06-12,4175.42,5562.81,41288.22,632,50,0
MYB0124,Negeri Sembilan,SME,2024-06-16,13649.23,7248.21,82167.85,653,102,0
MYB0125,Perak,Premium,2022-09-05,80423.56,26361.18,348270.26,,94,0
MYB0126,Sabah,Salary,2019-10-23,10162.75,4108.96,34682.28,716,56,0
MYB0127,Perak,SME,2020-04-16,36149.32,12098.99,191771.54,,83,0
MYB0128,Sarawak,Mass,2020-03-09,13721.37,4265.83,30993.86,750,42,0
MYB0129,Selangor,Salary,2024-12-13,10533.74,7885.8,74572.34,547,29,0
MYB0130,Penang,Mass,2021-11-14,10461.59,4719.53,0,751,42,0
MYB0131,Negeri Sembilan,Salary,2025-07-01,2642.52,2577.7,16253.35,691,81,0
MYB0132,Melaka,Mass,2026-01-30,2076.37,2955.61,38513.76,643,51,0
MYB0133,Perak,Mass,2019-11-11,119.73,2210.63,14872.98,523,10,0
MYB0134,Negeri Sembilan,Mass,2021-02-10,6234.22,2787.64,39288.27,628,55,0
MYB0135,Selangor,Mass,2024-08-28,7039.48,,59439.12,654,38,0
MYB0136,Sabah,Salary,2025-09-14,8043.52,5398.13,63831.6,744,85,0
MYB0137,Negeri Sembilan,Mass,2020-09-07,18442.3,3422.33,13173.31,,45,0
MYB0138,Perak,Student,2025-04-08,3591.22,1323.37,0,584,18,0
MYB0139,Pahang,SME,2020-01-18,6909.69,5117.68,34118.31,615,99,0
MYB0140,Melaka,Student,2021-02-25,3791.04,1840.27,20303.27,703,40,0
MYB0141,Sabah,Mass,2025-12-06,6802.61,1986.3,25529.6,691,23,0
MYB0142,Melaka,Mass,2019-06-28,7678.29,2703.45,18716.9,705,51,0
MYB0143,Melaka,Mass,2021-03-05,11243.73,2916.23,0,561,36,0
MYB0144,Penang,Salary,2021-03-28,2964.8,6853.09,54337.86,682,34,0
MYB0145,Pahang,Mass,2020-05-25,8145.0,3763.84,44678.42,765,9,0
MYB0146,Sabah,Salary,2019-04-20,11722.08,8185.69,98624.68,627,69,0
MYB0147,Selangor,Mass,2022-10-05,265.26,4364.5,56589.95,639,71,0
MYB0148,Selangor,Mass,2019-03-19,9192.73,5607.98,98630.71,677,28,1
MYB0149,,Mass,2020-05-14,9611.67,5372.32,0,698,54,0
MYB0150,Kuala Lumpur,Salary,2026-02-01,14843.08,5151.69,25819.76,658,65,0
MYB0151,Sabah,Mass,2019-10-05,11616.95,5418.66,0,752,48,0
MYB0152,Sarawak,Mass,2023-03-10,10618.06,4188.59,0,669,34,0
MYB0153,Sabah,Premium,2020-06-30,60662.8,22026.16,0,755,92,0
MYB0154,Penang,SME,2020-07-06,27080.7,13620.25,172605.79,780,95,0
MYB0155,Perak,Mass,2024-10-12,7077.81,2465.36,38507.85,721,43,1
MYB0156,Perak,SME,2020-05-24,-1500,14659.63,86743.22,708,107,0
MYB0157,Melaka,Mass,2023-02-13,-6298.04,5465.41,0,647,44,0
MYB0158,Pahang,Premium,2022-04-18,56439.19,15208.11,123356.33,690,52,0
MYB0159,Sabah,Mass,2025-11-23,12579.7,5005.59,0,724,59,0
MYB0160,Penang,Mass,2019-05-08,16058.4,4050.66,0,719,58,0
MYB0161,Sarawak,Mass,2025-05-12,5345.74,4295.17,44955.65,704,66,0
MYB0162,Sabah,Mass,2023-06-19,12907.96,3825.85,0,711,53,0
MYB0163,Selangor,Student,2021-12-08,-73.5,1922.86,10198.14,579,48,1
MYB0164,Penang,Mass,2023-12-29,11892.09,4193.23,0,779,80,0
MYB0165,Perak,Salary,2022-05-13,-3387.42,6272.34,0,725,42,0
MYB0166,Johor,Mass,2020-07-22,1627.04,2609.47,38236.21,,42,0
MYB0167,Selangor,Mass,2019-09-27,8817.22,2508.12,8125.61,850,55,0
MYB0168,Melaka,SME,2024-03-23,9428.86,8567.38,0,643,95,0
MYB0169,Sarawak,Student,2024-08-21,3144.2,1092.74,10142.2,673,45,0
MYB0170,Sabah,SME,2024-10-26,10029.9,13563.65,90260.19,613,101,0
MYB0171,Penang,Salary,2025-08-21,13773.13,7594.26,69636.25,708,38,0
MYB0172,Kuala Lumpur,Salary,2019-11-29,3459.91,9001.11,54244.67,707,40,0
MYB0173,,Salary,2022-05-22,12118.35,7800.14,84032.47,569,71,1
MYB0174,Melaka,Salary,2024-03-17,1577.71,7208.29,62813.94,752,97,0
MYB0175,Pahang,Mass,2020-03-10,2598.38,1743.75,24530.33,621,60,0
MYB0176,Negeri Sembilan,Salary,2023-09-09,26100.96,6539.61,49336.56,790,51,0
MYB0177,Melaka,Salary,2022-06-17,-4195.68,9352.14,93789.91,659,67,0
MYB0178,Perak,Mass,2024-07-20,3605.08,2349.16,23223.36,588,59,0
MYB0179,Sarawak,Mass,2023-02-07,-5426.28,4594.31,47613.33,691,63,0
MYB0180,Pahang,Salary,2022-02-19,16865.49,7658.92,86130.71,601,24,0
MYB0181,Penang,Mass,2021-03-26,26532.87,6673.67,50504.47,641,59,0
MYB0182,Penang,Salary,2025-10-19,12138.22,7281.92,0,653,81,0
MYB0183,Negeri Sembilan,Premium,2022-10-09,15950.67,10656.72,61916.65,655,94,0
MYB0184,Perak,Salary,2026-01-21,18250.25,6670.35,0,738,70,0
MYB0185,Negeri Sembilan,SME,2024-05-21,12060.46,4995.62,74659.71,693,80,0
MYB0186,Selangor,Mass,2021-02-20,4624.44,5213.17,44303.95,684,58,0
MYB0187,Kuala Lumpur,SME,2020-07-19,5453.4,3587.34,0,571,71,0
MYB0188,Pahang,Salary,2022-11-03,-6238.35,6739.81,0,585,49,0
MYB0189,Johor,Salary,2022-02-16,5768.13,3522.08,0,613,59,0
MYB0190,Sabah,SME,2024-05-19,52905.08,11599.41,0,596,88,0
MYB0191,Sarawak,Mass,2022-11-14,10096.32,4793.06,38182.98,778,81,0
MYB0192,Perak,Salary,2024-05-16,14773.08,7266.07,51255.62,783,88,0
MYB0193,Pahang,Mass,2021-07-13,10426.79,5424.72,48815.89,667,43,0
MYB0194,Pahang,Mass,2020-10-08,4274.72,1907.28,0,728,53,0
MYB0195,Kuala Lumpur,Mass,2020-01-02,8499.93,3707.53,0,630,47,0
MYB0196,Penang,Salary,2019-05-29,4148.12,8330.29,161889.76,678,98,1
MYB0197,Selangor,Salary,2022-10-04,-1500,4831.01,105039.64,622,65,0
MYB0198,Johor,Salary,2020-04-06,10944.84,5067.8,50008.74,747,55,0
MYB0199,Negeri Sembilan,Mass,2023-07-19,9649.64,5039.68,28919.79,710,41,0
MYB0200,Johor,Mass,2019-01-28,14873.69,4141.64,0,713,47,0
MYB0201,Sabah,Mass,2021-08-25,14570.31,4745.55,28870.17,685,75,0
MYB0202,,Mass,2023-02-14,9453.11,3077.08,25061.14,628,77,0
MYB0203,Pahang,Salary,2024-04-12,13668.89,,0,562,35,0
MYB0204,Pahang,Premium,2024-01-04,47992.24,11820.59,0,650,101,0
MYB0205,Pahang,Mass,2020-09-05,3672.9,,39308.6,781,11,0
MYB0206,Penang,Mass,2024-10-03,4958.57,4376.58,55194.93,604,37,1
MYB0207,Kuala Lumpur,Mass,2021-06-11,12916.37,3884.43,84703.37,658,58,0
MYB0208,Sarawak,Mass,2021-01-07,662.43,4022.3,0,680,39,0
MYB0209,Sarawak,Salary,2023-03-19,22304.4,4991.69,0,797,89,0
MYB0210,Sarawak,Student,2024-12-06,15469.93,2541.66,0,800,38,0
MYB0211,Sarawak,SME,2024-12-18,4205.45,2134.65,25589.34,611,100,0
MYB0212,Kuala Lumpur,,2023-09-14,16074.8,8111.86,0,559,85,0
MYB0213,Kuala Lumpur,Salary,2021-09-29,27513.34,6390.33,74324.92,608,85,0
MYB0214,Negeri Sembilan,Premium,2022-07-30,19084.18,17842.04,0,582,81,0
MYB0215,Sarawak,Salary,2022-05-15,18449.72,10208.02,153515.51,677,52,0
MYB0216,Kuala Lumpur,Salary,2022-11-11,14796.11,9034.26,0,651,81,0
MYB0217,Pahang,,2024-04-23,14524.89,4247.67,0,713,68,1
MYB0218,Sarawak,Salary,2025-04-01,11472.32,4727.11,43562.65,649,46,0
MYB0219,Kuala Lumpur,Premium,2022-01-04,67919.33,17338.76,239311.06,614,93,0
MYB0220,Johor,SME,2024-05-17,18768.01,10981.06,135295.11,801,101,0
MYB0221,Johor,SME,2025-10-11,21880.31,13568.29,83412.28,,103,0
MYB0222,,SME,2021-12-07,1846.59,5998.45,72499.9,753,91,0
MYB0223,Kuala Lumpur,Mass,2025-04-23,3091.34,,15978.48,726,43,0
MYB0224,Johor,Mass,2022-09-13,7437.68,4391.26,3922.16,748,35,0
MYB0225,Melaka,SME,2024-03-02,22128.42,13349.64,216286.61,736,68,0
MYB0226,Kuala Lumpur,Salary,2024-11-16,12460.67,9945.44,0,713,35,0
MYB0227,Johor,Premium,2019-10-06,53084.09,15838.57,96956.37,661,64,0
MYB0228,Kuala Lumpur,Salary,2024-12-19,6024.2,4317.05,42320.37,649,115,1
MYB0229,,Premium,2021-01-04,60489.51,17577.35,206447.83,690,83,0
MYB0230,Sarawak,Mass,2024-02-24,123.41,3349.23,17303.38,495,18,0
MYB0231,Kuala Lumpur,Premium,2020-01-18,7385.45,12390.0,73480.11,694,109,0
MYB0232,Selangor,Mass,2024-12-03,10761.24,5328.05,0,717,43,0
MYB0233,Perak,Student,2025-02-02,2309.53,1190.49,0,643,16,0
MYB0234,Sarawak,SME,2019-11-12,47170.78,15738.66,234641.93,669,66,0
MYB0235,Penang,Salary,2019-11-18,4677.38,1574.5,4642.57,642,46,0
MYB0236,Sabah,Salary,2019-05-02,20253.55,9124.46,43581.0,614,87,0
MYB0237,Negeri Sembilan,Mass,2023-04-06,13259.83,5601.83,0,724,44,0
MYB0238,Penang,SME,2023-05-15,29099.25,8986.34,77708.17,694,88,0
MYB0239,Pahang,Salary,2024-09-29,25667.05,7462.94,78390.81,663,78,0
MYB0240,Perak,Salary,2023-08-22,31353.51,5916.81,0,683,34,0
MYB0241,Sarawak,Mass,2020-11-25,12971.26,4840.13,67466.76,714,32,0
MYB0242,Johor,Mass,2026-01-04,8635.13,4843.71,49144.66,592,53,0
MYB0243,Sarawak,Premium,2022-09-11,14417.82,11576.73,0,683,57,0
MYB0244,,Salary,2024-05-16,11182.03,4653.94,0,802,92,0
MYB0245,Johor,Salary,2022-08-27,13991.77,4114.48,57146.01,734,44,0
MYB0246,Melaka,Salary,2021-05-08,14449.04,5248.2,59052.37,617,33,0
MYB0247,Perak,Salary,2021-09-18,20759.68,,44553.86,704,43,0
MYB0248,Sarawak,Student,2025-02-04,7269.68,1415.61,17564.3,816,12,0
MYB0249,Johor,Mass,2022-12-25,4944.69,5012.75,32403.19,748,68,0
MYB0250,Selangor,Mass,2021-11-25,6487.59,,65805.58,685,39,0
MYB0251,Negeri Sembilan,Salary,2024-08-11,53596.43,10205.13,76180.73,850,94,0
MYB0252,Sabah,Mass,2024-02-09,21117.56,5339.66,28076.35,695,69,0
MYB0253,Kuala Lumpur,Mass,2020-04-16,-1500,5267.23,67698.53,686,50,0
MYB0254,Sarawak,Mass,2024-03-07,3033.38,2785.79,39140.15,665,36,1
MYB0255,Johor,Salary,2024-01-16,19456.64,4988.6,59029.17,629,66,0
MYB0256,Penang,Premium,2023-02-07,41547.07,14498.01,201949.26,636,60,0
MYB0257,Negeri Sembilan,Salary,2023-05-27,1832.14,,0,633,40,0
MYB0258,Negeri Sembilan,Mass,2025-08-14,13918.47,4743.36,43319.72,690,44,0
MYB0259,,Mass,2023-09-29,-1500,2881.56,43875.03,692,0,0
MYB0260,Penang,Salary,2021-02-05,13661.17,5713.26,55125.77,726,86,0
MYB0261,Melaka,Salary,2023-08-03,8883.94,9030.04,0,658,56,1
MYB0262,Perak,Premium,2019-05-14,-1500,16132.03,240492.28,658,86,0
MYB0263,Selangor,Salary,2025-06-03,7344.08,8868.74,0,750,90,1
MYB0264,Pahang,SME,2021-06-14,24197.95,10733.99,0,672,74,0
MYB0265,Sabah,Salary,2019-12-23,4005.96,1103.43,0,712,98,0
MYB0266,Negeri Sembilan,Mass,2026-02-04,9487.14,2735.57,0,694,20,0
MYB0267,Negeri Sembilan,Salary,2025-01-15,10705.1,8982.25,10258.16,828,23,0
MYB0268,Sarawak,Mass,2019-08-31,13426.26,3971.66,38210.51,788,41,0
MYB0269,Sarawak,Premium,2024-06-27,48843.58,19973.05,177319.35,,86,0
MYB0270,Sabah,SME,2024-02-06,12956.3,5124.66,45633.89,704,59,0
MYB0271,Sabah,Salary,2019-09-17,19480.48,7018.81,0,614,44,0
MYB0272,Pahang,Mass,2025-06-25,25289.05,5768.54,0,768,32,1
MYB0273,Melaka,Salary,2019-03-08,18073.97,9053.3,181726.83,767,72,1
MYB0274,Penang,SME,2022-01-27,14297.18,13382.2,161831.19,731,66,1
MYB0275,Johor,Salary,2023-10-25,8857.64,4911.58,38743.41,583,68,1
MYB0276,Selangor,SME,2023-09-26,54797.45,13470.57,77051.82,661,108,0
MYB0277,Perak,Mass,2020-07-15,4283.4,2604.26,0,730,29,0
MYB0278,Negeri Sembilan,Salary,2020-11-03,12175.41,3790.04,46969.9,690,49,0
MYB0279,Selangor,Mass,2025-08-11,4592.27,2050.94,12933.92,645,38,0
MYB0280,Negeri Sembilan,Mass,2025-09-23,18198.75,4026.55,0,620,58,0
MYB0281,Negeri Sembilan,Mass,2024-09-18,134.05,,53362.77,729,53,0
MYB0282,Selangor,Salary,2024-12-03,12721.66,8293.21,79605.42,686,81,0
MYB0283,Pahang,Salary,2020-12-08,15618.18,6861.33,0,523,64,0
MYB0284,Kuala Lumpur,Mass,2023-06-19,7960.11,2546.32,11803.1,652,72,0
MYB0285,Perak,Mass,2019-11-20,10192.45,4922.06,0,635,33,0
MYB0286,Selangor,Premium,2022-06-24,2784.66,14989.15,0,637,85,0
MYB0287,Negeri Sembilan,Salary,2019-08-14,28072.63,,0,635,85,0
MYB0288,Sabah,Mass,2024-11-12,785.21,5458.26,50197.89,,74,0
MYB0289,Selangor,SME,2019-05-01,45817.99,8065.64,73532.2,719,74,0
MYB0290,Negeri Sembilan,Mass,2020-11-14,-338.99,3210.98,39393.03,630,38,0
MYB0291,Kuala Lumpur,Salary,2019-02-20,29847.9,6570.38,101415.18,738,79,0
MYB0292,Sarawak,SME,2021-07-08,23065.54,6865.9,0,633,88,0
MYB0293,,Salary,2021-01-04,-1500,,106582.97,686,86,0
MYB0294,Perak,Premium,2022-09-02,86295.18,20237.76,165730.98,713,77,0
MYB0295,,,2025-02-16,2076.08,1425.1,9985.32,665,43,0
MYB0296,Kuala Lumpur,Premium,2022-10-04,48433.48,22556.19,0,685,69,0
MYB0297,Melaka,Mass,2019-09-03,10766.06,4842.11,61944.43,669,63,0
MYB0298,Selangor,Salary,2025-07-06,13671.29,4949.44,0,688,85,0
MYB0299,Johor,Student,2022-04-09,7459.02,2095.76,0,672,26,0
MYB0300,Selangor,Mass,2021-04-10,8561.16,2373.63,36024.16,722,64,0
MYB0301,Sabah,Mass,2021-04-30,12985.85,2947.35,0,679,70,0
MYB0302,Negeri Sembilan,SME,2019-06-15,-1500,10642.88,79389.16,789,85,0
MYB0303,Penang,Premium,2019-05-08,27510.82,16861.15,129345.6,784,75,0
MYB0304,Selangor,Premium,2019-02-18,75136.33,23228.5,262380.39,725,60,0
MYB0305,,Salary,2019-03-31,-5017.91,2552.24,25401.56,688,56,0
MYB0306,Selangor,Premium,2019-06-24,5455.83,17350.33,0,666,90,0
MYB0307,Sarawak,Salary,2020-12-08,11623.05,4082.47,32088.82,761,44,0
MYB0308,Pahang,Salary,2024-05-16,14615.64,4843.2,54299.5,706,101,0
MYB0309,Pahang,Salary,2019-03-21,16589.09,9669.24,53887.13,680,83,0
MYB0310,Sabah,Mass,2025-09-11,17907.98,3475.35,0,688,106,0
MYB0311,Johor,Premium,2020-10-15,65961.31,20980.5,282037.14,751,39,1
MYB0312,Johor,Student,2025-06-16,-1500,2313.23,32635.76,591,47,0
MYB0313,Negeri Sembilan,SME,2019-04-26,51384.66,12686.95,81629.87,665,126,0
MYB0314,Melaka,Premium,2025-01-29,41991.11,14113.75,145460.58,730,77,0
MYB0315,Penang,Mass,2022-10-27,-1500,4192.81,0,642,50,0
MYB0316,Selangor,Student,2024-11-25,8992.45,1894.96,4150.45,,29,1
MYB0317,Penang,Mass,2020-10-07,7630.19,4060.54,26460.49,604,45,0
MYB0318,Sabah,Salary,2021-07-03,7432.14,4245.6,15573.39,602,48,0
MYB0319,Negeri Sembilan,Mass,2023-05-23,14722.89,5394.3,61759.99,596,61,0
MYB0320,Melaka,Mass,2020-07-30,2939.82,2692.26,30705.44,645,76,0
MYB0321,Sabah,Premium,2024-01-04,74982.72,19065.57,111491.66,679,76,0
MYB0322,Penang,Salary,2023-08-23,17720.05,5938.1,60387.98,608,76,0
MYB0323,Johor,SME,2020-10-28,10680.58,4955.11,64848.62,685,103,0
MYB0324,Selangor,Mass,2025-02-18,27213.01,4857.76,29386.52,830,48,0
MYB0325,Penang,Salary,2025-10-23,20121.81,7318.83,78427.17,652,54,0
MYB0326,Perak,Mass,2022-05-03,5748.01,2420.82,27288.62,656,42,0
MYB0327,Perak,Salary,2026-01-04,15580.92,5518.22,63931.69,641,95,0
